08/13/2023   03:07:13  AM|PROPERTY DAMAGE|34XX  N NIMITZ HWY|AIRPORT|District 5
08/13/2023   03:03:18  AM|ALARM CALL|5604XX  KAM HWY|KAHUKU|District 4
08/13/2023   03:02:09  AM|ARGUMENT FAMILY|8409XX  FARRINGTON HWY|MAKAHA|District 8
08/13/2023   02:52:37  AM|SUSP CIRCUMSTANCE|9110XX  KAMAAHA LOOP|KAPOLEI|District 8
08/13/2023   02:37:07  AM|HOMICIDE|8XX  UNIVERSITY AVE|MCCULLY|District 7
08/13/2023   02:18:20  AM|MVC VEH TOWED|8710XX  FARRINGTON HWY|NANAKULI|District 8
08/13/2023   01:35:18  AM|WARRANT ARREST|20XX  KALAKAUA AVE|WAIKIKI|District 6
08/13/2023   01:33:22  AM|UNATTENDED DEATH|8701XX  HELELUA ST|NANAKULI|District 8
08/13/2023   01:30:02  AM|UNATTENDED DEATH|9405XX  WAIPAHU ST|WAIPAHU|District 3
08/12/2023   23:22:47  PM|FAMILY OFF/NEG|9404XX  HAMAU ST|WAIPAHU|District 3
08/12/2023   23:05:56  PM|RECKLESS ENDANGERING|PAAKEA RD / LUALUALEI NAVAL RD|NANAKULI|District 8
