08/27/2024   05:56:29  AM|NUISANCE COMPLAINT|9810XX  MOANALUA RD|AIEA|District 3
08/27/2024   05:40:31  AM|MEDICAL ASSIST|14XX  LINAPUNI ST|KALIHI|District 5
08/27/2024   04:49:26  AM|FAMILY OFF/NEG|11XX  KILANI AVE|WAHIAWA|District 2
08/27/2024   04:41:25  AM|FIRE CALL|35XX  KEANU ST|KAIMUKI|District 7
08/27/2024   03:38:26  AM|ROBBERY|13XX  KALAKAUA AVE|HONOLULU|District 1
08/27/2024   03:05:19  AM|TRAFFIC ARREST/CITATION|2XX  WILIKINA DR|WAHIAWA|District 2
08/26/2024   14:29:10  PM|PROPERTY DAMAGE|28XX  MOKUMOA ST|MAPUNAPUNA|District 5
08/26/2024   14:28:07  PM|FOLLOW UP|10XX  NUUANU AVE|DOWNTOWN|District 1
08/26/2024   14:27:06  PM|FRAUD|9203XX  LAALOA ST|KAPOLEI|District 8
08/26/2024   14:26:32  PM|MISC PUB|9500XX  WAIKALANI DR|MILILANI|District 2
08/26/2024   13:26:38  PM|UEMV|8XX  S BERETANIA ST|HONOLULU|District 1
08/26/2024   13:24:52  PM|FRAUD|9112XX  KAILEOLEA DR|EWA BEACH|District 8
08/26/2024   13:18:22  PM|LOST PROPERTY|35XX  KUMU ST|MANOA|District 7
08/26/2024   12:52:16  PM|FRAUD|8901XX  NANAIKALA PL|NANAKULI|District 8
